,acc
0,0
1,1
2,0
3,0
4,0
5,1
6,1
7,0
8,0
9,1
10,1
11,1
12,0
13,0
14,0
15,1
16,1
17,0
18,0
19,0
20,1
21,1
22,0
23,0
24,1
25,0
26,0
27,0
28,0
29,0
30,1
31,0
32,0
33,1
34,0
35,1
36,0
37,0
38,0
39,0
40,0
41,0
42,1
43,1
44,0
45,0
46,0
47,1
48,0
49,1
50,0
51,1
52,1
53,0
54,1
55,1
56,1
57,0
58,0
59,1
60,1
61,0
62,0
63,0
64,0
65,0
66,0
67,1
68,1
69,0
70,0
71,0
72,0
73,1
74,1
75,0
76,0
77,0
78,1
79,1
80,1
81,1
82,1
83,1
84,1
85,1
86,0
87,0
88,0
89,0
90,0
91,0
92,1
93,0
94,0
95,1
96,1
97,0
98,1
99,1
