,acc
0,1
1,0
2,0
3,0
4,1
5,0
6,0
7,0
8,0
9,1
10,0
11,1
12,1
13,1
14,0
15,1
16,1
17,0
18,0
19,0
20,0
21,0
22,0
23,0
24,1
25,0
26,1
27,0
28,0
29,0
30,0
31,0
32,1
33,0
34,1
35,0
36,0
37,0
38,0
39,1
40,0
41,1
42,1
43,0
44,0
45,0
46,0
47,0
48,0
49,0
50,1
51,0
52,0
53,1
54,1
55,1
56,1
57,0
58,1
59,0
60,0
61,0
62,1
63,1
64,0
65,0
66,0
67,0
68,1
69,1
70,0
71,1
72,1
73,0
74,0
75,0
76,0
77,1
78,0
79,0
80,1
81,0
82,0
83,1
84,0
85,1
86,1
87,0
88,0
89,0
90,0
91,1
92,1
93,0
94,1
95,0
96,1
97,0
98,0
99,0
