,acc
0,0
1,1
2,1
3,0
4,1
5,1
6,0
7,1
8,0
9,1
10,1
11,0
12,0
13,0
14,0
15,0
16,1
17,1
18,0
19,0
20,1
21,1
22,1
23,0
24,1
25,1
26,1
27,0
28,1
29,1
30,0
31,1
32,1
33,1
34,0
35,0
36,0
37,1
38,0
39,1
40,1
41,1
42,0
43,1
44,1
45,1
46,0
47,1
48,1
49,1
50,1
51,1
52,1
53,1
54,1
55,1
56,0
57,1
58,1
59,0
60,0
61,0
62,0
63,0
64,1
65,1
66,1
67,0
68,0
69,0
70,1
71,0
72,1
73,0
74,1
75,0
76,1
77,0
78,0
79,0
80,0
81,0
82,1
83,0
84,0
85,1
86,1
87,1
88,1
89,1
90,0
91,1
92,1
93,1
94,1
95,1
96,0
97,0
98,0
99,1
